时间,公司名,行业,轮次,金额,投资方,最新估值(估算)(万),标签,基本信息,团队信息
2021-09-24,纳弘熠岦,先进制造,A轮,未透露,"华盖资本, 启浦投资, 布谷天阙",10000,先进制造、新材料、新材料,"纳弘熠岦是一家光学平台技术研发商，致力于微纳功能结构精密制造与半导体开模技术的研发和产业化。率先研制并推广应用于光伏组件提效的光学功能薄膜、应用于节能建筑材料的抗红外玻璃、应用于触摸屏的金属网格等系列产品。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-23,冠能光电,先进制造,A轮,数千万人民币,清华海峡研究院,15000,先进制造、新材料、新材料,冠能光电是是一家有机分子光电材料研发商，兼具有机OLED各类材料、中间体及有机材料提纯设备制造技术，主要经营高端纳米及有机分子光电材料、器件应用技术和相关生产设备的研发、生产与销售；尤其是有机发光显示（OLED）材料的开发方面填补了国内的空白。已申请/授权发明专利几十项，打造了国内外行业急需的应用于OLED、OTFT和OPV有机光电子器件的各类材料，和年产2000公斤的高端有机半导体及其中间体产能制造设备。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-22,6K,先进制造,C轮,5100万美元,"Anzu Partners, Launch Capital, Volta Energy Technologies（领投）, Catalus Capital, S CAP, Prithvi Ventures, Material Impact, RKS Ventures",165750,先进制造、新材料、新材料,"6K是一家美国微波等离子体技术开发商，致力于生产应用于储能市场的正极材料，将材料开发成产品，推动制造业、可再生能源、航空航天和消费电子行业的发展。其研发的UniMelt等离子体可以应用于LTO、NMC-333、NMC-532、NMC-622、NMC-811、高镍NMC和硅负极。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-22,唐锋能源,先进制造,B轮,数亿人民币,"光速中国（领投）, 高瓴投资, 朗玛峰创投, 昆仲资本, 金浦投资",150000,先进制造、新能源、电池,上海唐锋能源科技有限公司是一家从事燃料电池膜电极研发、生产、测试和销售的专业化公司，目前专注于氢能源燃料电池膜电极开发，所开发和生产的低成本、高性能和长寿命燃料电池膜电极达到国际先进水平。,章俊良 董事长兼总经理 章俊良，唐锋能源创始人、董事长兼总经理。担任上海交通大学致远学院常务副院长、上海交通大学燃料电池研究所教授。1994年和1997年毕业于上海交大，分别获学士和硕士学位。2005年于美国纽约州立大学石溪分校获博士学位。2002年3月至2007年5月在美国Brookhaven国家实验室材料科学部和化学部从事博士和博士后研究。2007年5月加入美国通用汽车公司研发总部，电化学能源研究实验室，任研究科学家，2009年1月晋升为高级研究员。2011年9月全职加入上海交通大学。 
2021-09-18,梦之墨,先进制造,B+轮,近亿人民币,"聚源资本-中芯聚源（领投）, 阳光融汇资本",50000,先进制造、新材料、新材料,梦之墨是一家液态金属电路3D打印机研发商，公司主要产品为液态金属桌面电子电路打印机等制造装备，在电子工业、设计开发、文化创意、教学科研与艺术创作等领域广泛应用。,刘静 创始人兼CEO 清华大学教授，中国科学院理化技术研究所双聘研究员，长期从事室温液态金属与生物传热学研究 陈柏炜 总经理 北京梦之墨科技有限公司总经理，近十年科技项目研发及成果转化工作经验。 于洋 研发副总裁 于洋，北京梦之墨科技有限公司研发副总，清华大学工学博士，发表国内外知名学术刊物论文16篇。 
2021-09-17,格派新能源,先进制造,B+轮,1.92亿人民币,LG,96000,先进制造、新能源、新材料,格派新能源是一家动力电池材料提供商，公司主要业务包括钴镍锰等基础料、三元前驱体、锂电正极材料以及动力电池梯次循环利用等，致力于建设新能源动力电池产业生产圈。,曹栋强 董事长 曹栋强，格派新能源董事长。 
2021-09-17,方圆化工,先进制造,B轮,数亿人民币,"温氏投资（领投）, 中金资本, 同创伟业",150000,先进制造、新材料、新材料,方圆化工是生产芳纶合成单体苯二甲酰氯、苯二胺以及间位和对位芳纶的化工新材料企业。,暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-14,融通高科先进材料,先进制造,A轮,未透露,"红杉资本中国, 金石投资",10000,先进制造、新材料、电池,融通高科先进材料是一家电池材料研发生产商，隶属于湖北融通高科先进材料有限公司。致力于生产高性能高质量的电池电极材料。 ,何中林 创始人 何中林，融通高科产业集团（北京融通高科科技发展有限公司、北京融通高科微电子科技有限公司、北京融通高科创业投资有限公司、北京世通凌讯科技有限公司等）董事长，工商管理硕士，中国电力科学研究院特聘的资深信息安全专家，国内知名的智能卡、安全芯片、电子标签应用专家，天津一卡通标准鉴定专家组成员，拥有100多项专利、集成电路布图和软件著作权。拥有20多年智能卡的从业经验，10年以上安全芯片创业管理经验。 
2021-09-14,德智新材料,先进制造,战略投资,未透露,哈勃投资(华为旗下),50000,先进制造、新材料、新材料,"德智新材料是一家复合材料研发生产商，专业从事碳化硅纳米镜面涂层及陶瓷基复合材料研发、生产和销售，产品主要应用于太阳能光伏、核工业、航空航天等领域。
",暂未收录该公司团队信息 请告诉我们，让我们做得更好 
2021-09-14,振华新材,先进制造,IPO上市,12.35亿人民币,,520500,先进制造、新材料、电池,振华新材是一家专业从事锂离子电池正极材料的研发、生产及销售的企业，公司的主营业务为锂离子电池正极材料的研发、生产及销售，产品涵盖消费电子产品及电动汽车所用的锂离子电池正极材料领域。,侯乔坤 董事长 侯乔坤，是深圳市振华新材料股份有限公司的董事长。 
